route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color,route_url
134842,ALLGO,326,Lijn 326 (R-net) Almere Stad - Blaricum P+R,,3,e00713,ffffff,
134844,ALLGO,330,Lijn 330 (R-net) Almere Buiten - A'dam Bijlmer,,3,e00713,ffffff,
134845,ALLGO,N22,Lijn N22 (NightGo) A'dam Leidsepl.- Almere Buiten,,3,f59c00,000000,
134846,ALLGO,N23,Lijn N23 (NightGo) A'dam Centraal - Almere Centrum,,3,e00713,ffffff,
134847,ALLGO,M1,Lijn M1 (Havenmetro) Stat. Centrum - Haven Centrum,,3,0067a7,ffffff,
134848,ALLGO,M2,Lijn M2 (Buitenmetro) Stat. Centrum - Striphelden,,3,0ba13b,ffffff,
134849,ALLGO,M3,Lijn M3 (Muziekmetro) Stat. Centrum - Muziekwijk,,3,e00713,ffffff,
134850,ALLGO,M4,Lijn M4 (Poortmetro) Stat. Centrum - Stat. Poort,,3,fdc300,000000,
134851,ALLGO,M5,Lijn M5 (Dansmetro) Stat. Centrum  - Parkwijk,,3,f59c00,000000,
134852,ALLGO,M6,Lijn M6 (Noorderplassenmetro) Stat. Cen. - Nrdpl.,,3,007a86,ffffff,
134853,ALLGO,M7,Lijn M7 (Parkmetro) Stat. Centrum - Oostvaarders,,3,912e7b,ffffff,
134855,ALLGO,22,Lijn 22 (FlexiGo) Station Buiten - De Vaart,,3,858c96,ffffff,
134856,ALLGO,24,Lijn 24 (DuinGo) Station Poort - Duin,,3,858c96,ffffff,
140855,ALLGO,28,Lijn 28 Buurtbus Almere Hout,,3,858c96,000000,
141883,ALLGO,329,Lijn 329 (R-net) Almere Haven - Amsterdam Amstel,,3,e00713,ffffff,
145343,ALLGO,M8,Lijn M8 (Nobelhorstmetro) Stat. Centr - Nobelhorst,,3,b8ff00,000000,
142585,ARR,401,Groningen - Leer,,3,,,
142586,ARR,620,Weener - Leer,,3,,,
142731,ARR,1,Capital Programme - Plaza,,3,,,
142732,ARR,3,P3 - Vertrekhallen - Plaza,,3,,,
144826,ARR,62,Roermond via Herkenbosch - Roermond.,,3,00becd,000000,
144827,ARR,63,Roermond via Posterholt - Roermond.,,3,00becd,000000,
144828,ARR,77,Venlo via Kessel - Roermond,,3,00becd,000000,
144829,ARR,80,Venray Station via Venray Centrum - Deurne,,3,00becd,000000,
144830,ARR,85,Siebengewald - Boxmeer,,3,00becd,000000,
144831,ARR,86,Venlo via Greenport - Horst,,3,00becd,000000,
144832,ARR,298,Merselo - Blitterswijck,,3,00becd,000000,
144833,ARR,1,Venlo Station via Tegelen - Kaldenkirchen,,3,ff00ff,000000,
144834,ARR,2,Blerick Klingerberg - Venlo Station,,3,800080,ffffff,
144835,ARR,1,Kitskensberg via Donderberg - Roermond Station,,3,ff00ff,000000,
144836,ARR,1,Weert Station - Weert Boshoven,,3,ff00ff,000000,
144837,ARR,2,Weert Station - Laar,,3,800080,ffffff,
144843,ARR,790,Weert via Ittervoort - Heythuysen,,3,00becd,000000,
144854,ARR,60,Echt - Maria Hoop,,3,00becd,000000,
144856,ARR,61,Roermond via Montfort - Echt,,3,00becd,000000,
144858,ARR,66,Venlo via Reuver - Roermond,,3,00becd,000000,
144859,ARR,67,Roermond via Linne - Echt,,3,00becd,000000,
144860,ARR,68,Roermond via Stevensweert - Echt,,3,00becd,000000,
144861,ARR,70,Venlo via Meijel - Weert,,3,00becd,000000,
144866,ARR,75,Meijel - Roermond,,3,00becd,000000,
144872,ARR,79,Horst/Sevenum - Panningen,,3,00becd,000000,
144873,ARR,81,Venray via Wanssum - Well,,3,00becd,000000,
144874,ARR,83,Nijmegen - Venlo,,3,00becd,000000,
144875,ARR,84,Boxmeer - Gennep,,3,00becd,000000,
144876,ARR,87,Venlo via Horst/Sevenum - Venray,,3,00becd,000000,
144877,ARR,88,Venlo via Grubbenvorst - Venray Station,,3,00becd,000000,
144878,ARR,89,Venray via Horst/Lottum - Venlo,,3,00becd,000000,
144879,ARR,4,Venlo Station via Stalberg - Venlo Station.,,3,ffcc00,000000,
144880,ARR,5,Venlo Station via Noorderpoort - Venlo Station.,,3,0000ff,ffffff,
144887,ARR,3,Weert Station - Leuken,,3,339966,000000,
144888,ARR,4,Weert Station - Altweerterheide,,3,ffcc00,000000,
144893,ARR,794,Boukoul - Roermond Leeuwen,,3,00becd,000000,
144894,ARR,796,Heythuysen - Nederweert,,3,00becd,000000,
144908,ARR,71,Weert via Roggel - Meijel,,3,00becd,000000,
144909,ARR,72,Roermond via Panningen - Venlo,,3,00becd,000000,
144913,ARR,73,Roermond - Weert,,3,00becd,000000,
144914,ARR,74,Nederweert via Weert - Stramproy,,3,00becd,000000,
144918,ARR,76,Maasbracht - Ell,,3,00becd,000000,
144920,ARR,78,Baarlo - Grashoek,,3,00becd,000000,
144923,ARR,279,Lottum - Evertsoord,,3,00becd,000000,
144924,ARR,289,Venray Station - Horst,,3,00becd,000000,
144925,ARR,3,Blerick Vossener - Venlo Station,,3,339966,000000,
144928,ARR,2,Roermond - Herten,,3,800080,ffffff,
145914,ARR,187,Venray via Castenray - Horst,,3,ff8000,000000,
145920,ARR,539,Urmond via Berg a/d Maas - Oud Urmond,,3,00becd,000000,
148472,ARR,5,Daalhof via MUMC - Heugem,,3,0000ff,ffffff,
148473,ARR,6,Markt via De Geusselt - Amby,,3,00ffff,000000,
148474,ARR,7,Forum MECC via Sibemaweg - Caberg/Pottenberg,,3,ffff00,000000,
148475,ARR,8,Maastricht via Bemelen - Valkenburg,,3,7570b3,000000,
148477,ARR,27,Kerkrade Parkstad Stadion - Herzogenrath,,3,00becd,000000,
148478,ARR,28,Nuth - Voerendaal,,3,00becd,000000,
148479,ARR,36,Sittard via Schinveld - Brunssum,,3,00becd,000000,
148480,ARR,37,Sittard via Merkelbeek - Brunssum,,3,00becd,000000,
148481,ARR,39,Urmond via Berg a/d Maas - Sittard,,3,00becd,000000,
148482,ARR,40,Heerlen via Hoensbroek - Sittard,,3,00becd,000000,
148483,ARR,43,Heerlen via Simpelveld - Vaals,,3,00becd,000000,
148484,ARR,44,Heerlen via Parkstad Stadion - Aachen,,3,00becd,000000,
148485,ARR,47,Gulpen via Simpelveld - Parkstad Stadion,,3,00becd,000000,
148486,ARR,51,Valkenburg via Sibbe - Margraten,,3,00becd,000000,
148487,ARR,52,Heerlen via Hulsberg - Meerssen,,3,00becd,000000,
148488,ARR,53,Hoensbroek via Schinnen - Geleen,,3,00becd,000000,
148489,ARR,54,Gulpen via Valkenburg - Geleen,,3,00becd,000000,
148490,ARR,55,Gulpen via Ubachsberg - Heerlen,,3,00becd,000000,
148491,ARR,56,Valkenburg via Hoensbroek - Brunssum,,3,00becd,000000,
148492,ARR,57,Maastricht via Epen - Gulpen,,3,00becd,000000,
148493,ARR,59,Mamelis via Vijlen - Vaals,,3,00becd,000000,
148494,ARR,149,Gulpen via Epen en Drielandenpunt - Vaals,,3,ff8000,000000,
148495,ARR,811,Vlinder Venlo,,3,00becd,000000,
148496,ARR,322,Vaals via Heerlen en Chemelot - Beek,,3,00becd,000000,
148497,ARR,332,Sittard via Chemelot - Beek,,3,00becd,000000,
148498,ARR,337,Brunssum via Sportzone - Chemelot,,3,00becd,000000,
148499,ARR,340,Hoensbroek via Sportzone - Chemelot,,3,00becd,000000,
148500,ARR,350,Maastricht via Gulpen - Aachen,,3,0000ff,ffffff,
148501,ARR,601,Zuyd Hogeschool via Heerlerbaan/Station - Kerkrade,,3,00becd,000000,
148502,ARR,603,Brunssum via Heerlen - Parkstad Stadion,,3,00becd,000000,
148503,ARR,606,Kerkrade via Eygelshoven - Zuyd Hogeschool,,3,00becd,000000,
148506,ARR,617,Sittard via NedCar - Holtum,,3,00becd,000000,
148507,ARR,881,Vlinder Venray,,3,00becd,000000,
148508,ARR,632,Sittard Station - Chemelot Campus,,3,00becd,000000,
148509,ARR,637,Sittard Sportzone - Brunssum,,3,00becd,000000,
148510,ARR,639,Urmond via Berg a/d Maas - Sittard,,3,00becd,000000,
148511,ARR,643,Heerlen via Parkstad Stadion - Vaals,,3,00becd,000000,
148512,ARR,647,Gulpen via Simpelveld - Parkstad Stadion,,3,00becd,000000,
148513,ARR,655,Gulpen via Ubachsberg - Heerlen,,3,00becd,000000,
148514,ARR,657,Mheer via Banholt - Gulpen,,3,00becd,000000,
148515,ARR,1,Malberg via MUMC - De Heeg,,3,ff00ff,000000,
148516,ARR,659,Maastricht via Gulpen - Vaals,,3,00becd,000000,
